,character,role,movie,line,line_sw,line_sw_stem
22,tony stark,hero,iron man,okay let’s do it that was quick thought there’d be more of you know a ceremony maybe a highlight reel colore me up my chaperone has just arrived with my degenerate of the year award judging from his look i may have just peed in the kiddie pool i must now take my ease along with the house’s funds,okay let’s quick thought there’d know ceremony maybe highlight reel colore chaperone arrived degenerate year award judging look may peed kiddie pool must take ease along house’s funds,okay let’ quick thought there’d know ceremoni mayb highlight reel color chaperon arriv degener year award judg look may peed kiddi pool must take eas along house’ fund
23,james rhodes,hero,iron man,a lot of people would kill to have their name on that award,lot people would kill name award,lot peopl would kill name award
24,tony stark,hero,iron man,it belongs to my old man they should have given it to him,belongs old man given,belong old man given
25,james rhodes,hero,iron man,what’s wrong with you a thousand people came here tonight to honor you and you leave them with egg on their face this award means something tony it’s bigger than you,what’s wrong thousand people came tonight honor leave egg face award means something tony it’s bigger,what’ wrong thousand peopl came tonight honor leav egg face award mean someth toni it’ bigger
26,tony stark,hero,iron man,hold that thought a sec put it all on black don’t worry it’s approved,hold thought sec put black don’t worry it’s approved,hold thought sec put black don’t worri it’ approv
27,james rhodes,hero,iron man,you just blew three million,blew three million,blew three million
28,tony stark,hero,iron man,yeah don’t know what was more exciting winning it or the fact that i don’t care i just lost it,yeah don’t know exciting winning fact don’t care lost,yeah don’t know excit win fact don’t care lost
29,james rhodes,hero,iron man,everything’s funny to you,everything’s funny,everything’ funni
30,tony stark,hero,iron man,no you’re not funny,you’re funny,you’r funni
31,james rhodes,hero,iron man,we’ve got a hell of a day tomorrow can we get out of here now,we’ve got hell day tomorrow get,we’v got hell day tomorrow get
32,tony stark,hero,iron man,one more stop of course i respect your opinion,one stop course respect opinion,one stop cours respect opinion
33,james rhodes,hero,iron man,this is no joke you’re going into a hot zone we should be doing this test here in nevada,joke you’re going hot zone test nevada,joke you’r go hot zone test nevada
34,tony stark,hero,iron man,this system has to be demonstrated in true field conditions,system demonstrated true field conditions,system demonstr true field condit
36,tony stark,hero,iron man,jim how’re the trout running yeah sitting on top of the world here working on my masterpiece,jim how’re trout running yeah sitting top world working masterpiece,jim how’r trout run yeah sit top world work masterpiec
38,tony stark,hero,iron man,okay shoot,okay shoot,okay shoot
41,tony stark,hero,iron man,can i ask a few back,ask back,ask back
43,tony stark,hero,iron man,ridiculous i don’t paint,ridiculous don’t paint,ridicul don’t paint
45,tony stark,hero,iron man,that’s not bad let me guess berkeley,that’s bad let guess berkeley,that’ bad let guess berkeley
47,tony stark,hero,iron man,well miss brown it’s an imperfect world and i assure you the day weapons are no longer needed to keep the peace i’ll start manufacturing bricks and beams to make baby hospitals,well miss brown it’s imperfect world assure day weapons longer needed keep peace i’ll start manufacturing bricks beams make baby hospitals,well miss brown it’ imperfect world assur day weapon longer need keep peac i’ll start manufactur brick beam make babi hospit
49,tony stark,hero,iron man,every night in front of the mirror call me tony,every night front mirror call tony,everi night front mirror call toni
51,tony stark,hero,iron man,here’s serious my old man had a philosophy peace means having a bigger stick than the other guy,here’s serious old man philosophy peace means bigger stick guy,here’ seriou old man philosophi peac mean bigger stick guy
53,tony stark,hero,iron man,my father helped defeat hitler he was on the manhattan project a lot of people including your professors at brown might call that being a hero,father helped defeat hitler manhattan project lot people including professors brown might call hero,father help defeat hitler manhattan project lot peopl includ professor brown might call hero
55,tony stark,hero,iron man,tell me do you plan to report on the millions we’ve saved by advancing medical technology or kept from starving with our inteli crops all were breakthroughs spawned from that’s right military funding,tell plan report millions we’ve saved advancing medical technology kept starving inteli crops breakthroughs spawned that’s right military funding,tell plan report million we’v save advanc medic technolog kept starv int crop breakthrough spawn that’ right militari fund
63,tony stark,hero,iron man,five i’ll need a bit longer than that,five i’ll need bit longer,five i’ll need bit longer
65,tony stark,hero,iron man,you’re rushing me what you have plans tonight,you’re rushing plans tonight,you’r rush plan tonight
67,tony stark,hero,iron man,maybe tell me your plans,maybe tell plans,mayb tell plan
69,tony stark,hero,iron man,what’s it look like,what’s look like,what’ look like
71,tony stark,hero,iron man,buy it,buy,buy
73,tony stark,hero,iron man,you have plans don’t you,plans don’t,plan don’t
75,tony stark,hero,iron man,it’s your birthday again,it’s birthday,it’ birthday
77,tony stark,hero,iron man,well get yourself something from me something nice,well get something something nice,well get someth someth nice
79,tony stark,hero,iron man,and,,
81,tony stark,hero,iron man,you’re welcome miss potts sorry pal car trouble,you’re welcome miss potts sorry pal car trouble,you’r welcom miss pott sorri pal car troubl
82,james rhodes,hero,iron man,i was standing out there three hours what the hell,standing three hours hell,stand three hour hell
83,tony stark,hero,iron man,i had car trouble thanks maybe later,car trouble thanks maybe later,car troubl thank mayb later
85,tony stark,hero,iron man,two fingers of laphroig you want one,two fingers laphroig want one,two finger laphroig want one
86,james rhodes,hero,iron man,we’re working,we’re working,we’r work
87,tony stark,hero,iron man,you should have a drink we’ve got a twelve hour flight ahead of us,drink we’ve got twelve hour flight ahead us,drink we’v got twelv hour flight ahead us
88,james rhodes,hero,iron man,it’s two in the afternoon,it’s two afternoon,it’ two afternoon
89,tony stark,hero,iron man,it’s two in the morning where we’re going c’mon ten hours bottle to throttle,it’s two morning we’re going c’mon ten hours bottle throttle,it’ two morn we’r go c’mon ten hour bottl throttl
90,james rhodes,hero,iron man,don’t start with me,don’t start,don’t start
91,tony stark,hero,iron man,jeez we’re not getting hammered just a nightcap we’ll sleep better arrive fresh it’s the responsible thing to do i don’t know about you but i want to sell some weapons,jeez we’re getting hammered nightcap we’ll sleep better arrive fresh it’s responsible thing don’t know want sell weapons,jeez we’r get hammer nightcap we’ll sleep better arriv fresh it’ respons thing don’t know want sell weapon
92,james rhodes,hero,iron man,you don’t get it i don’t work for the military because they paid for my education or my father’s education don’t cheapen it like that,don’t get don’t work military paid education father’s education don’t cheapen like,don’t get don’t work militari paid educ father’ educ don’t cheapen like
93,tony stark,hero,iron man,all i said was with your smarts your engineering background you could write your own ticket in the private sector on top of which you wouldn’t have to wear that straight jacket’,said smarts engineering background could write ticket private sector top wouldn’t wear straight jacket’,said smart engin background could write ticket privat sector top wouldn’t wear straight jacket’
94,james rhodes,hero,iron man,straight jacket’ this uniform means something a chance to make a difference you don’t respect that because you don’t understand,straight jacket’ uniform means something chance make difference don’t respect don’t understand,straight jacket’ uniform mean someth chanc make differ don’t respect don’t understand
95,tony stark,hero,iron man,see that one her i understand croatian hot blooded i’m serious must be those winters in zagreb,see one understand croatian hot blooded i’m serious must winters zagreb,see one understand croatian hot blood i’m seriou must winter zagreb
96,james rhodes,hero,iron man,you’re not listening to a word i’m saying,you’re listening word i’m saying,you’r listen word i’m say
97,tony stark,hero,iron man,i am listening i’m changing the subject it’s the same litany every time you’ve had a thimble of alcohol drink one reflections on the new american century and related topics,listening i’m changing subject it’s litany every time you’ve thimble alcohol drink one reflections new american century related topics,listen i’m chang subject it’ litani everi time you’v thimbl alcohol drink one reflect new american centuri relat topic
98,james rhodes,hero,iron man,something’s seriously wrong with you man,something’s seriously wrong man,something’ serious wrong man
99,tony stark,hero,iron man,drink a history of world war ii and the tuskeegee flyers drink,drink history world war ii tuskeegee flyers drink,drink histori world war ii tuskeege flyer drink
100,james rhodes,hero,iron man,you know hell with you i’m not talking to you anymore,know hell i’m talking anymore,know hell i’m talk anymor
101,tony stark,hero,iron man,go hang with the pilot you’ll get along he’s got a personality just like yours,go hang pilot you’ll get along he’s got personality like,go hang pilot you’ll get along he’ got person like
102,james rhodes,hero,iron man,i will that’s funny,that’s funny,that’ funni
103,tony stark,hero,iron man,you could tell the age old question is it better to be feared or respected i say is it too much to ask for both with that in mind i humbly present the crown jewel of stark industries freedom line it’s the first missile system to incorporate my proprietary repulsor technology they say the best weapon is one you never have to fire i prefer the one you only have to fire once that’s how dad did it it’s how america does it and so far its worked out pretty well find an excuse to fire off one of these and i personally guarantee the enemy is not gonna want to leave their caves for your consideration the jericho now there’s one last creation i haven’t shown anyone yet you might be interested to peace gentlemen and with every five hundred million i’ll throw in a free one of these hey what are you doing up,could tell age old question better feared respected say much ask mind humbly present crown jewel stark industries freedom line it’s first missile system incorporate proprietary repulsor technology say best weapon one never fire prefer one fire that’s dad it’s america far worked pretty well find excuse fire one personally guarantee enemy gonna want leave caves consideration jericho there’s one last creation haven’t shown anyone yet might interested peace gentlemen every five hundred million i’ll throw free one hey,could tell age old question better fear respect say much ask mind humbl present crown jewel stark industri freedom line it’ first missil system incorpor proprietari repulsor technolog say best weapon one never fire prefer one fire that’ dad it’ america far work pretti well find excus fire one person guarante enemi gonna want leav cave consider jericho there’ one last creation haven’t shown anyon yet might interest peac gentlemen everi five hundr million i’ll throw free one hey
104,obadiah stane,villain,iron man,sleeping how did it go,sleeping go,sleep go
105,tony stark,hero,iron man,i think we got an early christmas coming,think got early christmas coming,think got earli christma come
106,obadiah stane,villain,iron man,sounds good,sounds good,sound good
107,tony stark,hero,iron man,hey why aren’t you wearing the pjs i got you,hey aren’t wearing pjs got,hey aren’t wear pj got
108,obadiah stane,villain,iron man,i don’t do monograms i’m hanging up now bye bye,don’t monograms i’m hanging bye bye,don’t monogram i’m hang bye bye
109,tony stark,hero,iron man,all right who wants to ride with me jimmy,right wants ride jimmy,right want ride jimmi
111,tony stark,hero,iron man,sorry rhodey no room for my conscience in here or that hang dog look see you back at base water water,sorry rhodey room conscience hang dog look see back base water water,sorri rhodey room conscienc hang dog look see back base water water
113,tony stark,hero,iron man,what have you done to me,done,done
115,tony stark,hero,iron man,i don’t remember,don’t remember,don’t rememb
117,tony stark,hero,iron man,where are we,,
123,tony stark,hero,iron man,i refuse,refuse,refus
125,tony stark,hero,iron man,how did they get all this,get,get
128,tony stark,hero,iron man,no he won’t,won’t,won’t
130,james rhodes,hero,iron man,something’s not right,something’s right,something’ right
132,james rhodes,hero,iron man,sir i’m telling you this was a snatch and grab a perfectly executed linear ambush as soon as they got what they wanted they melted away,sir i’m telling snatch grab perfectly executed linear ambush soon got wanted melted away,sir i’m tell snatch grab perfectli execut linear ambush soon got want melt away
134,james rhodes,hero,iron man,with your permission i’d like to stay in theater and head up the search and investigation,permission i’d like stay theater head search investigation,permiss i’d like stay theater head search investig
136,james rhodes,hero,iron man,tony stark is the dod’s number one intellectual asset and i can be of value in the field,tony stark dod’s number one intellectual asset value field,toni stark dod’ number one intellectu asset valu field
139,tony stark,hero,iron man,why should i do anything they’re either going to kill me or i’m going to die in a week,anything they’re either going kill i’m going die week,anyth they’r either go kill i’m go die week
141,tony stark,hero,iron man,okay here’s what i need s category missiles lot the s explosive tritonal and a dozen of the s mortars m category and m ’s i need eleven of these mines the pre s ap s and ap s,okay here’s need category missiles lot explosive tritonal dozen mortars category ’s need eleven mines pre ap ap,okay here’ need categori missil lot explos triton dozen mortar categori ’s need eleven mine pre ap ap
143,tony stark,hero,iron man,this area free of clutter with good light i want it at o’clock to the door to avoid logjams i need welding gear acetelyene or propane helmets a soldering set up with goggles and smelting cups two full sets of precision tools,area free clutter good light want o’clock door avoid logjams need welding gear acetelyene propane helmets soldering set goggles smelting cups two full sets precision tools,area free clutter good light want o’clock door avoid logjam need weld gear acetelyen propan helmet solder set goggl smelt cup two full set precis tool
145,tony stark,hero,iron man,finally i want three pairs of tube socks white a toothbrush protein powder spices sugar five pounds of tea cards and a washing machine top load,finally want three pairs tube socks white toothbrush protein powder spices sugar five pounds tea cards washing machine top load,final want three pair tube sock white toothbrush protein powder spice sugar five pound tea card wash machin top load
148,tony stark,hero,iron man,must have everything great satan make big boom kill for powerful abu bakar big boom kill,must everything great satan make big boom kill powerful abu bakar big boom kill,must everyth great satan make big boom kill power abu bakar big boom kill
150,tony stark,hero,iron man,i know they’re crazy not stupid this is what we’re looking for i need eleven of these,know they’re crazy stupid we’re looking need eleven,know they’r crazi stupid we’r look need eleven
152,tony stark,hero,iron man,heat the palladium to kelvin,heat palladium kelvin,heat palladium kelvin
154,tony stark,hero,iron man,the palladium will melt careful careful,palladium melt careful careful,palladium melt care care
156,tony stark,hero,iron man,oh yeah thanks what do i call you,oh yeah thanks call,oh yeah thank call
158,tony stark,hero,iron man,nice to meet you,nice meet,nice meet
160,tony stark,hero,iron man,a better mousetrap what are you shaving for we’re almost done,better mousetrap shaving we’re almost done,better mousetrap shave we’r almost done
162,tony stark,hero,iron man,that’s because it’s a miniature ark reactor it should suspend the shrapnel in my chest and keep it from entering my heart,that’s it’s miniature ark reactor suspend shrapnel chest keep entering heart,that’ it’ miniatur ark reactor suspend shrapnel chest keep enter heart
164,tony stark,hero,iron man,yeah but this one is going to last a bit longer than a week,yeah one going last bit longer week,yeah one go last bit longer week
166,tony stark,hero,iron man,three gigajoules per second,three gigajoules per second,three gigajoul per second
168,tony stark,hero,iron man,or something very big for fifteen minutes let’s put it in,something big fifteen minutes let’s put,someth big fifteen minut let’ put
169,obadiah stane,villain,iron man,sorry did i startle you,sorry startle,sorri startl
171,obadiah stane,villain,iron man,this was a bad idea i should never have let him go over there,bad idea never let go,bad idea never let go
174,tony stark,hero,iron man,looks to me like you’re making a crappy backgammon board,looks like you’re making crappy backgammon board,look like you’r make crappi backgammon board
176,tony stark,hero,iron man,is that where you’re from lebanon,you’re lebanon,you’r lebanon
178,tony stark,hero,iron man,a i don’t know what your talking about b i was the backgammon champ at mit four years running,don’t know talking b backgammon champ mit four years running,don’t know talk b backgammon champ mit four year run
180,tony stark,hero,iron man,please don’t use interesting’ and cambridge in the same sentence is that still a school,please don’t use interesting’ cambridge sentence still school,pleas don’t use interesting’ cambridg sentenc still school
182,tony stark,hero,iron man,unless they’re teaching,unless they’re teaching,unless they’r teach
192,james rhodes,hero,iron man,there’s nothing left we can do if there was any indication tony was still alive,there’s nothing left indication tony still alive,there’ noth left indic toni still aliv
194,james rhodes,hero,iron man,what do you want me to do,want,want
197,james rhodes,hero,iron man,going back there sir,going back sir,go back sir
199,james rhodes,hero,iron man,are you blocking my transfer sir,blocking transfer sir,block transfer sir
201,james rhodes,hero,iron man,i am sir,sir,sir
203,tony stark,hero,iron man,we’re ready a week of assembly and we’re a go,we’re ready week assembly we’re go,we’r readi week assembl we’r go
205,tony stark,hero,iron man,right back at ya you never told me where you’re from,right back ya never told you’re,right back ya never told you’r
207,tony stark,hero,iron man,do you have a family,family,famili
209,tony stark,hero,iron man,no,,
212,tony stark,hero,iron man,yeah yeah enjoy your laundry,yeah yeah enjoy laundry,yeah yeah enjoy laundri
215,tony stark,hero,iron man,it’s frozen the systems aren’t talking to each other reset,it’s frozen systems aren’t talking reset,it’ frozen system aren’t talk reset
217,tony stark,hero,iron man,get to your cover remember the checkpoints make sure each one is clear before you follow me out yinsen,get cover remember checkpoints make sure one clear follow yinsen,get cover rememb checkpoint make sure one clear follow yinsen
219,tony stark,hero,iron man,we could’ve made it both of us you could’ve seen your family again,could’ve made us could’ve seen family,could’v made us could’v seen famili
221,james rhodes,hero,iron man,saving your ass is getting to be a full time job,saving ass getting full time job,save ass get full time job
222,tony stark,hero,iron man,help me out of this thing,help thing,help thing
223,james rhodes,hero,iron man,i got you pal,got pal,got pal
225,tony stark,hero,iron man,your eyes are red a few tears for your long lost boss,eyes red tears long lost boss,eye red tear long lost boss
228,tony stark,hero,iron man,you do something new with your hair,something new hair,someth new hair
231,tony stark,hero,iron man,no to the office i’ve been in captivity for three months there’s only two things i want to do i want to eat a cheeseburger and i want to hold a press conference,office i’ve captivity three months there’s two things want want eat cheeseburger want hold press conference,offic i’v captiv three month there’ two thing want want eat cheeseburg want hold press confer
232,obadiah stane,villain,iron man,see this huh huh tony thought we were meeting at the hospital you know there’s a lot of reporters in there what’s going on,see huh huh tony thought meeting hospital know there’s lot reporters what’s going,see huh huh toni thought meet hospit know there’ lot report what’ go
233,tony stark,hero,iron man,you’ll see c’mon,you’ll see c’mon,you’ll see c’mon
243,tony stark,hero,iron man,i can’t do this anymore,can’t anymore,can’t anymor
245,tony stark,hero,iron man,no i don’t want to retire i want to do something else,don’t want retire want something else,don’t want retir want someth els
247,tony stark,hero,iron man,yes that’s right,yes that’s right,ye that’ right
249,tony stark,hero,iron man,what happened over there i had my eyes opened that’s what happened i saw my weapons with my name on them in the hands of thugs i thought we were doing good here i can’t say that anymore,happened eyes opened that’s happened saw weapons name hands thugs thought good can’t say anymore,happen eye open that’ happen saw weapon name hand thug thought good can’t say anymor
250,james rhodes,hero,iron man,uhh weren’t we taking him to the hospital,uhh weren’t taking hospital,uhh weren’t take hospit
252,tony stark,hero,iron man,the system is broken there’s no accountability whatsoever right now as of this second we are freezing the sale of all stark weaponry worldwide we’ve lost our way i need to re evaluate things and my heart’s telling me i have more to offer the planet than things that blow up,system broken there’s accountability whatsoever right second freezing sale stark weaponry worldwide we’ve lost way need evaluate things heart’s telling offer planet things blow,system broken there’ account whatsoev right second freez sale stark weaponri worldwid we’v lost way need evalu thing heart’ tell offer planet thing blow
254,tony stark,hero,iron man,in the coming months mr stane here and i will set a new course for stark industries tomorrow today has always been our slogan it’s time we try to live up to it,coming months mr stane set new course stark industries tomorrow today always slogan it’s time try live,come month mr stane set new cours stark industri tomorrow today alway slogan it’ time tri live
255,obadiah stane,villain,iron man,okay i think we’re going to be selling a lot of newspapers here what we should take away from this is that tony’s back he’s healthier than ever and as soon as he heals up and takes some time off we’re going to have a little internal discussion and get back to you thank you for coming by,okay think we’re going selling lot newspapers take away tony’s back he’s healthier ever soon heals takes time we’re going little internal discussion get back thank coming,okay think we’r go sell lot newspap take away tony’ back he’ healthier ever soon heal take time we’r go littl intern discuss get back thank come
257,tony stark,hero,iron man,wait and see,wait see,wait see
258,obadiah stane,villain,iron man,well that went well you just painted targets on our heads our stock is going to take a point dive tomorrow tony we are a weapons manufacturer turning this company around to make baby bottles is like trying to get a bear to walk on its hind legs,well went well painted targets heads stock going take point dive tomorrow tony weapons manufacturer turning company around make baby bottles like trying get bear walk hind legs,well went well paint target head stock go take point dive tomorrow toni weapon manufactur turn compani around make babi bottl like tri get bear walk hind leg
259,tony stark,hero,iron man,i don’t want a body count to be my only legacy there are other things we can do,don’t want body count legacy things,don’t want bodi count legaci thing
260,obadiah stane,villain,iron man,like what,like,like
261,tony stark,hero,iron man,we could develop the arc reactor,could develop arc reactor,could develop arc reactor
262,obadiah stane,villain,iron man,this this was a publicity stunt it’s not even cost effective we knew that before we built it repulsor technology is a dead end,publicity stunt it’s even cost effective knew built repulsor technology dead end,public stunt it’ even cost effect knew built repulsor technolog dead end
263,tony stark,hero,iron man,no it isn’t,isn’t,isn’t
264,obadiah stane,villain,iron man,oh my god it is a miracle you are alive what must have happened to you over there we’re a team there is nothing we can’t do if we stick together like your father and i let me handle this but you have to lay low don’t talk to the press again can you do that for me,oh god miracle alive must happened we’re team nothing can’t stick together like father let handle lay low don’t talk press,oh god miracl aliv must happen we’r team noth can’t stick togeth like father let handl lay low don’t talk press
265,tony stark,hero,iron man,yes thanks obie,yes thanks obie,ye thank obi
267,tony stark,hero,iron man,hello jarvis,hello jarvis,hello jarvi
269,tony stark,hero,iron man,i need to build a better heart,need build better heart,need build better heart
271,tony stark,hero,iron man,give me a scan and you’ll see,give scan you’ll see,give scan you’ll see
273,tony stark,hero,iron man,it powers an electromagnet which keeps the shrapnel from entering my heart can you recommend any ugrades,powers electromagnet keeps shrapnel entering heart recommend ugrades,power electromagnet keep shrapnel enter heart recommend ugrad
275,tony stark,hero,iron man,what are you talking about that is ridiculous that is exactly the purpose of this invention,talking ridiculous exactly purpose invention,talk ridicul exactli purpos invent
277,tony stark,hero,iron man,upgrade recommendations list,upgrade recommendations list,upgrad recommend list
279,tony stark,hero,iron man,because you are acting like one,acting like one,act like one
281,tony stark,hero,iron man,no it’s ok you are the only one who understands me,it’s ok one understands,it’ ok one understand
283,tony stark,hero,iron man,were you always this dry i remember you having more personality than this,always dry remember personality,alway dri rememb person
285,tony stark,hero,iron man,fine could you please make your recommendations now,fine could please make recommendations,fine could pleas make recommend
287,tony stark,hero,iron man,ahh that’s more like it,ahh that’s like,ahh that’ like
289,tony stark,hero,iron man,machine away,machine away,machin away
298,tony stark,hero,iron man,pepper how big are your hands,pepper big hands,pepper big hand
301,tony stark,hero,iron man,how big are your hands,big hands,big hand
303,tony stark,hero,iron man,just get down here show me your hands,get show hands,get show hand
305,tony stark,hero,iron man,just show me your hands perfect they’re small i need you to help me,show hands perfect they’re small need help,show hand perfect they’r small need help
307,tony stark,hero,iron man,that’s the thing that was keeping me alive it is now an antique this is what will be keeping me alive for the foreseeable future,that’s thing keeping alive antique keeping alive foreseeable future,that’ thing keep aliv antiqu keep aliv forese futur
309,tony stark,hero,iron man,i’m going to swap them out and switch all functions to the new unit,i’m going swap switch functions new unit,i’m go swap switch function new unit
311,tony stark,hero,iron man,completely first i need you to reach in and,completely first need reach,complet first need reach
313,tony stark,hero,iron man,the socket,socket,socket
315,tony stark,hero,iron man,the chest socket listen carefully because we have to do this in a matter of minutes,chest socket listen carefully matter minutes,chest socket listen care matter minut
317,tony stark,hero,iron man,i can go into cardiac arrest,go cardiac arrest,go cardiac arrest
319,tony stark,hero,iron man,i didn’t want you to panic,didn’t want panic,didn’t want panic
321,tony stark,hero,iron man,stay with me i need you to relieve the pressure on my myocardial nerve,stay need relieve pressure myocardial nerve,stay need reliev pressur myocardi nerv
323,tony stark,hero,iron man,i’m telling you,i’m telling,i’m tell
325,tony stark,hero,iron man,listen i’m going to lift off the old chest piece,listen i’m going lift old chest piece,listen i’m go lift old chest piec
327,tony stark,hero,iron man,not immediately when i lift it off i need you to reach into the socket as far as your hand can fit and gently move the housing away from my heart do you know which direction that is,immediately lift need reach socket far hand fit gently move housing away heart know direction,immedi lift need reach socket far hand fit gentli move hous away heart know direct
329,tony stark,hero,iron man,to my right your left,right left,right left
331,tony stark,hero,iron man,right,right,right
333,tony stark,hero,iron man,right left,right left,right left
335,tony stark,hero,iron man,keep going that’s it deeper now press yes it’s releasing,keep going that’s deeper press yes it’s releasing,keep go that’ deeper press ye it’ releas
337,tony stark,hero,iron man,it’s not pus it’s an inorganic plasmic discharge it’s from the device not my body,it’s pus it’s inorganic plasmic discharge it’s device body,it’ pu it’ inorgan plasmic discharg it’ devic bodi
339,tony stark,hero,iron man,yes thank you,yes thank,ye thank
341,tony stark,hero,iron man,the new unit is much more efficient this shouldn’t happen again,new unit much efficient shouldn’t happen,new unit much effici shouldn’t happen
343,tony stark,hero,iron man,it is now,,
345,tony stark,hero,iron man,can it at least wait until i install my new untested ground breaking self contained power source and lifesaving device prototype,least wait install new untested ground breaking self contained power source lifesaving device prototype,least wait instal new untest ground break self contain power sourc lifesav devic prototyp
347,tony stark,hero,iron man,throw that thing out,throw thing,throw thing
349,tony stark,hero,iron man,why it’s antiquated,it’s antiquated,it’ antiqu
351,tony stark,hero,iron man,pepper i have been called many things nostalgic is not one of them there good as new thank you,pepper called many things nostalgic one good new thank,pepper call mani thing nostalg one good new thank
353,tony stark,hero,iron man,shoot,shoot,shoot
355,tony stark,hero,iron man,i don’t have anyone else,don’t anyone else,don’t anyon els
357,tony stark,hero,iron man,that will be all ms potts,ms potts,ms pott
359,tony stark,hero,iron man,these aren’t for walking ready to record the big moment jarvis,aren’t walking ready record big moment jarvis,aren’t walk readi record big moment jarvi
361,tony stark,hero,iron man,we’ll start off easy ten percent,we’ll start easy ten percent,we’ll start easi ten percent
363,tony stark,hero,iron man,great i uhh think i know what this needs,great uhh think know needs,great uhh think know need
364,james rhodes,hero,iron man,manned or unmanned which is the future of air combat for my money no drone no computer will ever trump a pilot’s instincts his reflexes his judgement,manned unmanned future air combat money drone computer ever trump pilot’s instincts reflexes judgement,man unman futur air combat money drone comput ever trump pilot’ instinct reflex judgement
365,tony stark,hero,iron man,why not take it a step further why not a pilot without the plane,take step pilot without plane,take step pilot without plane
366,james rhodes,hero,iron man,that i’d like to see look who fell out of the sky,i’d like see look fell sky,i’d like see look fell sky
367,tony stark,hero,iron man,who wants to take these apart and put them back together,wants take apart put back together,want take apart put back togeth
368,james rhodes,hero,iron man,all right let’s wrap it up i didn’t think i’d be seeing you for a while,right let’s wrap didn’t think i’d seeing,right let’ wrap didn’t think i’d see
369,tony stark,hero,iron man,why not,,
370,james rhodes,hero,iron man,figured you’d need a little time,figured you’d need little time,figur you’d need littl time
371,tony stark,hero,iron man,why does everybody think i need time,everybody think need time,everybodi think need time
372,james rhodes,hero,iron man,you’ve been through a lot thought you should get your head straight,you’ve lot thought get head straight,you’v lot thought get head straight
373,tony stark,hero,iron man,i’ve got it straight and i’m back to work,i’ve got straight i’m back work,i’v got straight i’m back work
374,james rhodes,hero,iron man,really,really,realli
375,tony stark,hero,iron man,i’m onto something big i want you to be a part of it,i’m onto something big want part,i’m onto someth big want part
